InternalProjectID,AverageCount,AverageForecast,Error,PercentError,AbsPE,ImprovementType,Func_Class,Forecast_Method,Diff_Year,UnifiedImprovementType
241020-1,25000,30100,-5100,-16.94352159,16.94352159,4,3,5,3,1
241043-1,3700,2845,855,30.05272408,30.05272408,1,3,4,4,1
2411,5225,6550,-1325,-20.22900763,20.22900763,12,4.5,1,3,3
241211-1,17000,14200,2800,19.71830986,19.71830986,1,4,5,3,1
241543-1,11300,16600,-5300,-31.92771084,31.92771084,4,3,4,3,1
2417,12825,15700,-2875,-18.31210191,18.31210191,12,3,1,2,3
24247,10250,29357,-19107,-65.08498825,65.08498825,3,3,6,2,1
242592-2,142000,148500,-6500,-4.377104377,4.377104377,4,1,1,4,1
242696-1,58500,46600,11900,25.53648069,25.53648069,4,3,1,1,1
24316,5933.333333,8281.25,-2347.916667,-28.35220126,28.35220126,1,3.833333333,6,2,1
2442,410,2900,-2490,-85.86206897,85.86206897,12,5,4,2,3
24441,110195,107500.625,2694.375,2.506380777,2.506380777,1,1,6,2,1
2449,4400,5350,-950,-17.75700935,17.75700935,12,4,1,1,3
2458,31566.66667,31666.66667,-100,-0.315789474,0.315789474,12,3.333333333,4,3,3
24597,4925,7635,-2710,-35.49443353,35.49443353,1,4,6,4,1
24598,2800,3702,-902,-24.365208,24.365208,1,5,6,5,1
2464,5700,7100,-1400,-19.71830986,19.71830986,12,3,4,4,3
2465,7666.666667,8766.666667,-1100,-12.54752852,12.54752852,12,3.333333333,4,4,3
2467,17757.14286,18928.57143,-1171.428571,-6.188679245,6.188679245,12,4,1,4,3
24691,36860,31816.67,5043.33,15.85121887,15.85121887,1,1,6,2,1
24738,5340,5115,225,4.398826979,4.398826979,1,4.5,6,1,1
24771,16060,18763.5,-2703.5,-14.4082927,14.4082927,3,3,6,1,1
24794,17133.33333,15547.83333,1585.5,10.19756236,10.19756236,1,1,6,3,1
2486,1000,1300,-300,-23.07692308,23.07692308,12,5,1,3,3
24947,8690,12563.7,-3873.7,-30.83247769,30.83247769,1,3.6,6,4,1
24956,23695,27028.335,-3333.335,-12.33274266,12.33274266,1,2,6,2,1
24957,55935,52330,3605,6.88897382,6.88897382,1,1,6,4,1
2501,10300,13400,-3100,-23.13432836,23.13432836,12,3,1,4,3
2514,576.6666667,713.3333333,-136.6666667,-19.1588785,19.1588785,12,5,1,3,3
25154,66090,82930,-16840,-20.30628241,20.30628241,1,1,6,1,1
25159,64560,64535,25,0.038738669,0.038738669,1,1,6,1,1
25198,10510,13978,-3468,-24.81041637,24.81041637,1,3,6,3,1
25199,14890,15007.75,-117.75,-0.784594626,0.784594626,1,3,6,3,1
25203,47515,48990,-1475,-3.010818534,3.010818534,1,1,6,2,1
25207,11250,12400,-1150,-9.274193548,9.274193548,1,3,6,3,1
2523,3800,4300,-500,-11.62790698,11.62790698,12,4,1,3,3
25235,18210,23602.66667,-5392.666667,-22.84770082,22.84770082,1,1.666666667,6,4,1
25325,39200,41440,-2240,-5.405405405,5.405405405,12,1,6,4,3
2533,7187.5,7579.5,-392,-5.171845109,5.171845109,12,4.2,1,2,3
2536,10940,12510,-1570,-12.54996003,12.54996003,12,3.4,1,2,3
25377,8036.666667,7772.5,264.1666667,3.398734856,3.398734856,12,3.666666667,6,1,3
25378,5410,6786.388333,-1376.388333,-20.2816029,20.2816029,2,4.833333333,6,2,1
25423,13030,15433.66667,-2403.666667,-15.57417766,15.57417766,1,3,6,4,1
25438,2810,3323.333333,-513.3333333,-15.44633902,15.44633902,1,4,6,1,1
2545,4733.333333,4550,183.3333333,4.029304029,4.029304029,12,4.666666667,1,1,3
2549,3900,4200,-300,-7.142857143,7.142857143,12,3,1,2,3
25499,65990,71752.5,-5762.5,-8.031079056,8.031079056,3,1,6,1,1
2550,12840,13870,-1030,-7.426099495,7.426099495,12,3,1,2,3
25508,45485,47023.625,-1538.625,-3.272025498,3.272025498,12,1,6,4,3
25521,52960,56428.33333,-3468.333333,-6.146439436,6.146439436,1,1,6,5,1
25528,77307.5,94146.6675,-16839.1675,-17.88610043,17.88610043,1,1,6,0,1
25555,65300,89823,-24523,-27.30147067,27.30147067,1,1,6,2,1
25574,19000,21961.67,-2961.67,-13.48563201,13.48563201,1,1,6,1,1
25575,18485,21502.915,-3017.915,-14.03491108,14.03491108,1,1,6,1,1
25594,91150,91237,-87,-0.095356051,0.095356051,1,1,6,4,1
25618,13910,13497.5,412.5,3.056121504,3.056121504,1,3,6,2,1
2564,3000,3900,-900,-23.07692308,23.07692308,12,5,1,2,3
25645,1680,1506,174,11.55378486,11.55378486,1,5,6,3,1
25654,3185.833333,4525.209167,-1339.375833,-29.59809777,29.59809777,1,4.5,6,2,1
25657,1620,2140,-520,-24.29906542,24.29906542,1,5,6,2,1
25659,4860,5364.17,-504.17,-9.398844556,9.398844556,1,4,6,2,1
25661,13490,18481.25,-4991.25,-27.00710179,27.00710179,1,4,6,2,1
25662,2070,3464.17,-1394.17,-40.24542675,40.24542675,1,5,6,2,1
25663,6203.333333,7082.360833,-879.0275,-12.41150403,12.41150403,1,4.25,6,2,1
25664,2185,2435.835,-250.835,-10.29770079,10.29770079,1,5,6,1,1
